,delta,ideal,raw_m3,cvar_ub_m3,cvar_ub_m3_ci_lb,cvar_ub_m3_ci_ub,error,error_ci_lb,error_ci_ub
0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09000000000000001,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
2,-0.08,0.0026,0.0,0.0,0.0,0.0,-0.0026,-0.0026,-0.0026
3,-0.07,0.012,1.1282400835882704e-05,0.007812151406992741,0.0,0.022227445617800285,-0.004187848593007259,-0.012,0.010227445617800285
4,-0.060000000000000005,0.0393,8.16095862529424e-05,0.05650804765261999,0.01773963102169905,0.09527646428354093,0.01720804765261999,-0.02156036897830095,0.05597646428354093
5,-0.05,0.111,9.431844323524802e-05,0.06530790473975925,0.023630273471712128,0.10698553600780639,-0.04569209526024075,-0.08736972652828787,-0.004014463992193615
6,-0.04000000000000001,0.2373,0.00036914358253579553,0.25560211870133714,0.1731612259546355,0.3380430114480388,0.018302118701337133,-0.0641387740453645,0.10074301144803877
7,-0.03,0.4554,0.0012893802973589208,0.8927917249780234,0.7387864676337101,1.0,0.43739172497802337,0.2833864676337101,0.5446
8,-0.020000000000000004,0.7044,0.0022124288898038875,1.0,0.7983589717699563,1.0,0.2956,0.09395897176995627,0.2956
9,-0.010000000000000009,0.9101,0.002858680875003059,1.0,0.7708676588655299,1.0,0.08989999999999998,-0.13923234113447014,0.08989999999999998
10,0.0,1.0,0.0024584660839098264,1.0,0.787468747202295,1.0,0.0,-0.21253125279770502,0.0
11,0.009999999999999995,0.917,0.0024440693156230495,1.0,0.7880904228786527,1.0,0.08299999999999996,-0.12890957712134732,0.08299999999999996
12,0.01999999999999999,0.7013,0.002664751376164151,1.0,0.7787546611445314,1.0,0.29869999999999997,0.07745466114453137,0.29869999999999997
13,0.03,0.461,0.0011094206287659857,0.768184188102628,0.6253170730070943,0.9110513031981617,0.307184188102628,0.16431707300709425,0.4500513031981617
14,0.04000000000000001,0.251,0.0008470711181088353,0.5865283394391227,0.4616747254077939,0.7113819534704516,0.33552833943912275,0.21067472540779392,0.46038195347045163
15,0.04999999999999999,0.1101,0.00019874784208211328,0.13761682967515995,0.0771199120959839,0.198113747254336,0.02751682967515995,-0.0329800879040161,0.088013747254336
16,0.06,0.0455,6.926367393287747e-05,0.047959500432505346,0.012243491815238587,0.08367550904977211,0.0024595004325053474,-0.03325650818476141,0.03817550904977211
17,0.07,0.0122,0.0,0.0,0.0,0.0,-0.0122,-0.0122,-0.0122
18,0.07999999999999999,0.003,0.0,0.0,0.0,0.0,-0.003,-0.003,-0.003
19,0.09,0.0005,5.047747382040419e-06,0.003495157403673807,0.0,0.013137285748799453,0.002995157403673807,-0.0005,0.012637285748799453
20,0.1,0.0002,0.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002
